JKPAYT,#genre#
黑龙江卫视,http://192.168.3.1:5001/TVOD/5000000004000025203/bestzb/index.m3u8$6.8M1080_百视通
黑龙江卫视,http://192.168.3.1:5001/TVOD/1000000005000265029/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
黑龙江卫视,http://192.168.3.1:5001/TVOD/5000000010000031107/bestzb/index.m3u8$4M1080_百视通
黑龙江卫视,http://192.168.3.1:5001/TVOD/1000000001000009082/ystenlive/index.m3u8$4M1080_易视腾
湖北卫视,http://192.168.3.1:5001/TVOD/6000000001000015436/wasusyt/index.m3u8$8M1080_华数
湖北卫视,http://192.168.3.1:5001/TVOD/1000000001000024621/ystenlive/index.m3u8$8M1080_易视腾
湖北卫视,http://192.168.3.1:5001/TVOD/5000000004000014954/bestzb/index.m3u8$6.8M1080_百视通
湖北卫视,http://192.168.3.1:5001/TVOD/1000000005000265023/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
湖北卫视,http://192.168.3.1:5001/TVOD/5000000010000022140/bestzb/index.m3u8$4M1080_百视通
湖北卫视,http://192.168.3.1:5001/TVOD/1000000001000010355/ystenlive/index.m3u8$4M1080_易视腾
湖南茶频道,http://192.168.3.1:5001/TVOD/5000000011000031209/bestzb/index.m3u8$6.8M1080_百视通
湖南茶频道,http://192.168.3.1:5001/TVOD/2000000002000000070/hnbblive/index.m3u8$6.8M1080_湖南bblive
湖南金鹰纪实,http://192.168.3.1:5001/TVOD/5000000011000031203/bestzb/index.m3u8$6.8M1080_百视通
湖南金鹰纪实,http://192.168.3.1:5001/TVOD/1000000002000011724/ystenlive/index.m3u8$4M576_易视腾
湖南金鹰卡通,http://192.168.3.1:5001/TVOD/1000000002000016601/ystenlive/index.m3u8$4M576_易视腾
湖南金鹰卡通,http://192.168.3.1:5001/TVOD/5000000006000040024/bestzb/index.m3u8$4M540_百视通
湖南金鹰卡通,http://192.168.3.1:5001/TVOD/6000000003000016791/wasusyt/index.m3u8$1.8M576_华数
湖南快乐垂钓,http://192.168.3.1:5001/TVOD/5000000011000031206/bestzb/index.m3u8$6.8M1080_百视通
湖南快乐垂钓,http://192.168.3.1:5001/TVOD/2000000002000000067/hnbblive/index.m3u8$6.8M1080_湖南bblive
湖南卫视,http://192.168.3.1:5001/TVOD/5000000004000006692/bestzb/index.m3u8$8M1080_百视通
湖南卫视,http://192.168.3.1:5001/TVOD/6000000001000018044/wasusyt/index.m3u8$8M1080_华数
湖南卫视,http://192.168.3.1:5001/TVOD/1000000001000032695/ystenlive/index.m3u8$8M1080_易视腾
湖南卫视,http://192.168.3.1:5001/TVOD/1000000005000265024/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
湖南卫视,http://192.168.3.1:5001/TVOD/5000000010000030452/bestzb/index.m3u8$4M1080_百视通
湖南卫视,http://192.168.3.1:5001/TVOD/1000000001000009115/ystenlive/index.m3u8$4M1080_易视腾
吉林卫视,http://192.168.3.1:5001/TVOD/5000000011000031117/bestzb/index.m3u8$6.8M1080_百视通
吉林卫视,http://192.168.3.1:5001/TVOD/1000000002000027730/ystenlive/index.m3u8$4M1080_易视腾
吉林卫视,http://192.168.3.1:5001/TVOD/5000000006000040013/bestzb/index.m3u8$4M540_百视通
吉林延边卫视,http://192.168.3.1:5001/TVOD/2000000003000000049/hnbblive/index.m3u8$4M576_湖南bblive
吉林延边卫视,http://192.168.3.1:5001/TVOD/1000000005000266008/ystenlive/index.m3u8$4M576_易视腾
江苏卫视,http://192.168.3.1:5001/TVOD/6000000001000014861/wasusyt/index.m3u8$8M1080_华数
江苏卫视,http://192.168.3.1:5001/TVOD/1000000001000001828/ystenlive/index.m3u8$8M1080_易视腾
江苏卫视,http://192.168.3.1:5001/TVOD/5000000004000019351/bestzb/index.m3u8$7.5M1080_百视通
江苏卫视,http://192.168.3.1:5001/TVOD/1000000005000265030/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
江苏卫视,http://192.168.3.1:5001/TVOD/5000000010000018509/bestzb/index.m3u8$4M1080_百视通
江苏卫视,http://192.168.3.1:5001/TVOD/1000000001000004684/ystenlive/index.m3u8$4M1080_易视腾
江苏优漫卡通,http://192.168.3.1:5001/TVOD/1000000002000010063/ystenlive/index.m3u8$4M576_易视腾
江苏优漫卡通,http://192.168.3.1:5001/TVOD/6000000003000030492/wasusyt/index.m3u8$1.8M576_华数
江西卫视,http://192.168.3.1:5001/TVOD/1000000006000268001/ystenlive/index.m3u8$8M1080_易视腾
江西卫视,http://192.168.3.1:5001/TVOD/5000000004000011210/bestzb/index.m3u8$6.8M1080_百视通
江西卫视,http://192.168.3.1:5001/TVOD/1000000005000265032/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
江西卫视,http://192.168.3.1:5001/TVOD/5000000001000032154/bestzb/index.m3u8$4M1080_百视通
江西卫视,http://192.168.3.1:5001/TVOD/1000000001000013731/ystenlive/index.m3u8$4M1080_易视腾
辽宁卫视,http://192.168.3.1:5001/TVOD/5000000004000011671/bestzb/index.m3u8$8M1080_百视通
辽宁卫视,http://192.168.3.1:5001/TVOD/1000000001000001945/ystenlive/index.m3u8$8M1080_易视腾
辽宁卫视,http://192.168.3.1:5001/TVOD/1000000005000265022/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
辽宁卫视,http://192.168.3.1:5001/TVOD/5000000001000008940/bestzb/index.m3u8$4M1080_百视通
辽宁卫视,http://192.168.3.1:5001/TVOD/1000000002000024033/ystenlive/index.m3u8$4M1080_易视腾
内蒙古卫视,http://192.168.3.1:5001/TVOD/1000000002000014080/ystenlive/index.m3u8$4M576_易视腾
宁夏卫视,http://192.168.3.1:5001/TVOD/1000000002000031451/ystenlive/index.m3u8$4M576_易视腾
宁夏卫视,http://192.168.3.1:5001/TVOD/5000000006000040022/bestzb/index.m3u8$4M540_百视通
